DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/06/2018,8:30,,,40.65183,-74.003334,"(40.65183, -74.003334)",38 STREET                       ,,,0,0,0,0,0,0,0,0,,,,,,3858007,,,,,
04/14/2018,15:45,,,40.84434,-73.91475,"(40.84434, -73.91475)",EAST MOUNT EDEN AVENUE          ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3881179,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,15:50,QUEENS,11370,40.76635,-73.88756,"(40.76635, -73.88756)",82 STREET                       ,23 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3881028,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,15:50,,,40.877796,-73.86806,"(40.877796, -73.86806)",EAST GUN HILL ROAD              ,OLINVILLE AVENUE,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3881493,PASSENGER VEHICLE,VN,,,
04/14/2018,16:00,BROOKLYN,11203,40.65248,-73.92259,"(40.65248, -73.92259)",,,5815      CHURCH AVENUE                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3881674,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,16:00,BROOKLYN,11211,40.714752,-73.949486,"(40.714752, -73.949486)",LORIMER STREET                  ,CONSELYEA STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881350,PASSENGER VEHICLE,,,,
04/14/2018,16:00,BROOKLYN,11215,40.669846,-73.98244,"(40.669846, -73.98244)",6 AVENUE                        ,6 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880987,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,16:00,QUEENS,11105,40.774147,-73.91497,"(40.774147, -73.91497)",29 STREET                       ,23 ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,,,3881436,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/14/2018,16:00,QUEENS,11361,40.761734,-73.76008,"(40.761734, -73.76008)",,,221-17    NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3880660,PASSENGER VEHICLE,,,,
04/14/2018,16:00,QUEENS,11418,40.701187,-73.824776,"(40.701187, -73.824776)",126 STREET                      ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881325,PASSENGER VEHICLE,,,,
04/14/2018,16:00,,,40.666233,-73.761,"(40.666233, -73.761)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3880723,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
04/14/2018,16:00,,,40.754974,-73.853096,"(40.754974, -73.853096)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881186,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:00,,,40.844524,-73.902725,"(40.844524, -73.902725)",WEBSTER AVENUE                  ,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3880803,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:00,,,40.68423,-73.92869,"(40.68423, -73.92869)",WESTCHESTER AVENUE              ,GRANT CIRCLE,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,3881183,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,16:00,BROOKLYN,11220,40.643005,-74.00533,"(40.643005, -74.00533)",7 AVENUE                        ,49 STREET,,1,0,1,0,0,0,0,0,,,,,,3880509,,,,,
04/14/2018,16:00,,,40.82559,-73.86316,"(40.82559, -73.86316)",BRUCKNER EXPRESSWAY             ,,,1,0,0,0,0,0,1,0,View Obstructed/Limited,Brakes Defective,,,,3881180,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,16:00,BROOKLYN,11226,40.64043,-73.95624,"(40.64043, -73.95624)",DITMAS AVENUE                   ,EAST 23 STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3882206,SPORT UTILITY / STATION WAGON,TAXI,,,
04/14/2018,16:01,,,40.88845,-73.841965,"(40.88845, -73.841965)",EAST 233 STREET                 ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3881119,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,16:04,QUEENS,11417,40.68017,-73.8524,"(40.68017, -73.8524)",,,86-39     103 AVENUE                    ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3882091,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:07,MANHATTAN,10028,40.77656,-73.95271,"(40.77656, -73.95271)",2 AVENUE                        ,EAST 84 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3882169,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:10,BROOKLYN,11206,40.697926,-73.93433,"(40.697926, -73.93433)",,,41        JEFFERSON STREET              ,0,0,0,0,0,0,0,0,Unspecified,,,,,3880745,PASSENGER VEHICLE,TK,,,
04/14/2018,16:10,BROOKLYN,11212,40.669823,-73.90981,"(40.669823, -73.90981)",THATFORD AVENUE                 ,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3880669,PASSENGER VEHICLE,,,,
04/14/2018,16:10,BROOKLYN,11213,40.669495,-73.944084,"(40.669495, -73.944084)",,,726       EASTERN PARKWAY               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880750,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,16:10,,,40.77226,-73.92591,"(40.77226, -73.92591)",NEWTOWN AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881068,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,16:10,,,,,,,,89        WEST DRIVE                    ,1,0,0,0,1,0,0,0,Driver Inexperience,,,,,3880770,BICYCLE,,,,
04/14/2018,16:14,QUEENS,11354,40.770004,-73.83489,"(40.770004, -73.83489)",STRATTON STREET                 ,WHITESTONE EXPRESSWAY,,5,0,0,0,0,0,5,0,,,,,,3880957,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:15,BROOKLYN,11249,40.69819,-73.96191,"(40.69819, -73.96191)",FLUSHING AVENUE                 ,CLASSON AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3881429,TAXI,PASSENGER VEHICLE,,,
04/14/2018,16:15,MANHATTAN,10010,40.736576,-73.97787,"(40.736576, -73.97787)",,,423       EAST 23 STREET                ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3881939,TAXI,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:15,QUEENS,11435,40.689487,-73.80581,"(40.689487, -73.80581)",,,107-04    REMINGTON STREET              ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3880800,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,16:15,,,40.81207,-73.93603,"(40.81207, -73.93603)",MADISON AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3880525,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:15,,,40.77067,-73.7355,"(40.77067, -73.7355)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3880661,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:15,QUEENS,11379,40.714622,-73.90117,"(40.714622, -73.90117)",ELIOT AVENUE                    ,FRESH POND ROAD,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3880778,MOTORCYCLE,PASSENGER VEHICLE,PICK-UP TRUCK,,
04/14/2018,16:22,BROOKLYN,11213,40.66605,-73.93017,"(40.66605, -73.93017)",,,1710      CARROLL STREET                ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3882448,PASSENGER VEHICLE,BICYCLE,,,
04/14/2018,16:22,BROOKLYN,11226,40.639263,-73.964066,"(40.639263, -73.964066)",MARLBOROUGH ROAD                ,DORCHESTER ROAD,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3881253,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,16:23,,,40.74445,-73.9711,"(40.74445, -73.9711)",FDR DRIVE RAMP                  ,,,1,0,0,0,0,0,1,0,Lost Consciousness,,,,,3880495,PASSENGER VEHICLE,,,,
04/14/2018,16:25,,,40.675735,-73.89686,"(40.675735, -73.89686)",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3882182,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:30,BROOKLYN,11226,40.64428,-73.95252,"(40.64428, -73.95252)",VERONICA PLACE                  ,CORTELYOU ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881678,PASSENGER VEHICLE,,,,
04/14/2018,16:30,,,40.714138,-73.834915,"(40.714138, -73.834915)",AUSTIN STREET                   ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3881359,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,16:30,BROOKLYN,11228,40.614803,-74.00599,"(40.614803, -74.00599)",80 STREET                       ,15 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3880479,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,16:30,,,40.72592,-73.72439,"(40.72592, -73.72439)",CROSS ISLAND PARKWAY            ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3881262,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:30,,,40.69822,-73.943954,"(40.69822, -73.943954)",PARK AVENUE                     ,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3881059,AM,,,,
04/14/2018,16:30,BRONX,10465,40.824696,-73.83919,"(40.824696, -73.83919)",BRUSH AVENUE                    ,LAFAYETTE AVENUE,,5,0,0,0,0,0,5,0,Following Too Closely,Unspecified,,,,3881572,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:34,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3881275,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,16:35,,,40.688465,-73.80387,"(40.688465, -73.80387)",109 AVENUE                      ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3881518,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:36,QUEENS,11691,40.601986,-73.759575,"(40.601986, -73.759575)",BEACH CHANNEL DRIVE             ,GIPSON STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3882321,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
04/14/2018,16:37,BROOKLYN,11234,40.583725,-73.89372,"(40.583725, -73.89372)",FLATBUSH AVENUE                 ,AVIATION ROAD,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3882133,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:43,MANHATTAN,10029,40.788055,-73.94433,"(40.788055, -73.94433)",2 AVENUE                        ,EAST 102 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3882237,BU,TAXI,PASSENGER VEHICLE,,
04/14/2018,16:45,,,40.825504,-73.886086,"(40.825504, -73.886086)",SHERIDAN EXPRESSWAY             ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880763,VN,SPORT UTILITY / STATION WAGON,,,
04/14/2018,16:49,,,40.842346,-73.93119,"(40.842346, -73.93119)",HARLEM RIVER DRIVE              ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3881688,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,16:58,BRONX,10460,40.838196,-73.88154,"(40.838196, -73.88154)",,,1903      WEST FARMS ROAD               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3881065,PASSENGER VEHICLE,,,,
04/14/2018,17:00,BRONX,10463,40.87684,-73.906334,"(40.87684, -73.906334)",,,5500      BROADWAY                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881619,TAXI,TAXI,,,
04/14/2018,17:00,QUEENS,11356,40.78169,-73.841415,"(40.78169, -73.841415)",20 AVENUE                       ,127 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880856,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:00,,,40.69424,-73.810905,"(40.69424, -73.810905)",101 AVENUE                      ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880798,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:00,,,40.7723,-73.986244,"(40.7723, -73.986244)",AMSTERDAM AVENUE                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881282,TAXI,BU,,,
04/14/2018,17:00,QUEENS,11369,40.76301,-73.87532,"(40.76301, -73.87532)",94 STREET                       ,ASTORIA BOULEVARD,,4,0,0,0,0,0,4,0,Traffic Control Disregarded,Unspecified,,,,3881144,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:01,BROOKLYN,11217,40.687023,-73.97621,"(40.687023, -73.97621)",LAFAYETTE AVENUE                ,FULTON STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3880682,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,17:05,QUEENS,11420,40.67447,-73.8027,"(40.67447, -73.8027)",135 PLACE                       ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3880689,PASSENGER VEHICLE,,,,
04/14/2018,17:05,QUEENS,11420,40.666855,-73.80425,"(40.666855, -73.80425)",NORTH CONDUIT AVENUE            ,135 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880688,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:05,,,40.65317,-73.866875,"(40.65317, -73.866875)",GATEWAY DRIVE                   ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3882199,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/14/2018,17:10,,,40.71976,-73.94476,"(40.71976, -73.94476)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3881353,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:10,,,40.83955,-73.91595,"(40.83955, -73.91595)",EAST 170 STREET                 ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3881181,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:10,,,40.794353,-73.97836,"(40.794353, -73.97836)",HENRY HUDSON PARKWAY            ,,,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,,,,3882257,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,17:15,MANHATTAN,10019,40.76729,-73.98008,"(40.76729, -73.98008)",,,240       CENTRAL PARK SOUTH            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3880521,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:15,,,40.774612,-73.92399,"(40.774612, -73.92399)",HOYT AVENUE SOUTH               ,21 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3881067,PASSENGER VEHICLE,TK,,,
04/14/2018,17:15,,,40.68096,-73.93765,"(40.68096, -73.93765)",MARCUS GARVEY BOULEVARD         ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3882383,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,17:15,,,40.885303,-73.88701,"(40.885303, -73.88701)",MOSHOLU PARKWAY                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881630,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,17:20,BRONX,10456,40.83332,-73.89676,"(40.83332, -73.89676)",BOSTON ROAD                     ,EAST 170 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880818,SPORT UTILITY / STATION WAGON,TAXI,,,
04/14/2018,17:20,MANHATTAN,10003,40.72393,-73.99113,"(40.72393, -73.99113)",,,7         2 AVENUE                      ,0,0,0,0,0,0,0,0,Other Vehicular,Following Too Closely,,,,3880678,PASSENGER VEHICLE,BU,,,
04/14/2018,17:24,,,40.608757,-74.038086,"(40.608757, -74.038086)",VERRAZANO BRIDGE UPPER          ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3881766,PICK-UP TRUCK,PASSENGER VEHICLE,,,
04/14/2018,17:25,BROOKLYN,11218,40.646378,-73.97085,"(40.646378, -73.97085)",CHURCH AVENUE                   ,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3881365,PASSENGER VEHICLE,TK,,,
04/14/2018,17:30,,,40.82733,-73.8498,"(40.82733, -73.8498)",BRUCKNER EXPRESSWAY             ,,,0,0,0,0,0,0,0,0,,,,,,3880515,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:30,,,40.85352,-73.902725,"(40.85352, -73.902725)",GRAND CONCOURSE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880667,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,17:32,,,40.581123,-74.15209,"(40.581123, -74.15209)",,,1600      FOREST HILL ROAD              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880485,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,17:35,BRONX,10465,40.84109,-73.82335,"(40.84109, -73.82335)",,,1355      SIEGFRIED PLACE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3881588,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
04/14/2018,17:35,MANHATTAN,10013,40.719395,-74.00189,"(40.719395, -74.00189)",CANAL STREET                    ,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3881413,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:40,,,40.74356,-73.96155,"(40.74356, -73.96155)",QUEENS MIDTOWN TUNNEL           ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,3881608,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
04/14/2018,17:40,,,,,,SHERIDAN EXPWY SERVICE ROAD     ,WESTCHESTER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3881243,PASSENGER VEHICLE,BICYCLE,,,
04/14/2018,17:45,QUEENS,11106,40.763416,-73.92844,"(40.763416, -73.92844)",BROADWAY                        ,CRESCENT STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881066,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:49,BRONX,10454,40.808037,-73.91111,"(40.808037, -73.91111)",EAST 142 STREET                 ,JACKSON AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,3880781,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
04/14/2018,17:50,QUEENS,11379,40.715805,-73.887924,"(40.715805, -73.887924)",69 STREET                       ,JUNIPER BOULEVARD SOUTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3880785,CONV,PASSENGER VEHICLE,,,
04/14/2018,17:50,,,40.736412,-73.74183,"(40.736412, -73.74183)",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,3881378,MOTORCYCLE,PASSENGER VEHICLE,,,
04/14/2018,17:50,,,40.684086,-73.85807,"(40.684086, -73.85807)",95 AVENUE                       ,,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3881420,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,17:51,BRONX,10466,40.88548,-73.82912,"(40.88548, -73.82912)",,,4067      BOSTON ROAD                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881128,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,17:55,MANHATTAN,10036,40.756554,-73.98025,"(40.756554, -73.98025)",,,33        WEST 46 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3880955,TAXI,,,,
04/14/2018,18:00,BROOKLYN,11231,40.682377,-74.00398,"(40.682377, -74.00398)",COLUMBIA STREET                 ,SUMMIT STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3880897,SPORT UTILITY / STATION WAGON,BUS,,,
04/14/2018,18:00,BROOKLYN,11249,40.71786,-73.96223,"(40.71786, -73.96223)",WYTHE AVENUE                    ,NORTH 4 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3881352,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:00,,,40.6427,-73.87661,"(40.6427, -73.87661)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3882115,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:00,,,40.675816,-73.895836,"(40.675816, -73.895836)",ATLANTIC AVENUE                 ,,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,3882208,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:10,QUEENS,11364,40.744488,-73.75044,"(40.744488, -73.75044)",69 AVENUE                       ,225 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3881502,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:13,,,40.831978,-73.93515,"(40.831978, -73.93515)",HARLEM RIVER DRIVE              ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3881231,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:15,,,40.748302,-73.97835,"(40.748302, -73.97835)",EAST 37 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880505,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:20,BRONX,10451,,,,EXTERIOR STREET                 ,EAST 138 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,,,,3880780,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,18:24,BROOKLYN,11226,40.651367,-73.95592,"(40.651367, -73.95592)",BEDFORD AVENUE                  ,MARTENSE STREET,,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,3882303,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,18:30,BROOKLYN,11207,40.680946,-73.90703,"(40.680946, -73.90703)",BROADWAY                        ,ABERDEEN STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3880821,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,18:30,BROOKLYN,11236,40.6338,-73.8897,"(40.6338, -73.8897)",SEAVIEW AVENUE                  ,ROCKAWAY PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881739,PASSENGER VEHICLE,,,,
04/14/2018,18:30,,,40.727844,-73.98223,"(40.727844, -73.98223)",EAST 10 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3881391,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
04/14/2018,18:30,,,40.749943,-73.754616,"(40.749943, -73.754616)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3881503,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,18:30,,,40.83694,-73.927124,"(40.83694, -73.927124)",OGDEN AVENUE                    ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3881176,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,18:35,QUEENS,11436,40.673847,-73.795715,"(40.673847, -73.795715)",143 STREET                      ,ROCKAWAY BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3882389,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,18:36,BROOKLYN,11223,40.609673,-73.96523,"(40.609673, -73.96523)",AVENUE P                        ,EAST 8 STREET,,1,0,0,0,0,0,1,0,,,,,,3882418,,,,,
04/14/2018,18:36,BROOKLYN,11223,40.603058,-73.98261,"(40.603058, -73.98261)",WEST 10 STREET                  ,HIGHLAWN AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3880480,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,18:39,MANHATTAN,10024,40.780144,-73.97522,"(40.780144, -73.97522)",,,60        WEST 77 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3881283,TAXI,TAXI,,,
04/14/2018,18:43,QUEENS,11358,40.761932,-73.80227,"(40.761932, -73.80227)",,,163-07    DEPOT ROAD                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3880835,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,18:48,BROOKLYN,11211,40.714066,-73.95163,"(40.714066, -73.95163)",METROPOLITAN AVENUE             ,UNION AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3882079,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
